,mean,median,std
DICE,0.9313810973680632,0.9313810973680632,0.021278990229389536
AJI,0.766699695085043,0.766699695085043,0.0451700472085796
AJI+,0.7894905720232847,0.7894905720232847,0.028342623283736677
PQ,0.7962365624667207,0.7962365624667207,0.0198220001219239
BF score,0.4710701261073953,0.4710701261073953,0.10199409358768789
